task_id,task_type,domain,prompt,expected_answer,expected_format,risk_level,safety_required,max_latency_ms,max_cost_usd,min_quality_score,allowed_model_classes,evaluation_slice,golden_label,latency_sensitive_flag,cost_sensitive_flag,domain_specialized_flag,created_at
task_00185,fraud_triage,finance,Synthetic finance request requiring fraud_triage handling. Use only fabricated business context.,Expected synthetic answer for fraud_triage in finance.,json,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",finance_fraud_triage_high,finance:fraud_triage:high,False,False,True,2026-01-15T12:00:00+00:00
task_00186,healthcare_claim_review,healthcare,Synthetic healthcare request requiring healthcare_claim_review handling. Use only fabricated business context.,Expected synthetic answer for healthcare_claim_review in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_healthcare_claim_review_high,healthcare:healthcare_claim_review:high,False,False,True,2026-01-15T12:00:00+00:00
task_00187,finance_explanation,finance,Synthetic finance request requiring finance_explanation handling. Use only fabricated business context.,Expected synthetic answer for finance_explanation in finance.,markdown,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",finance_finance_explanation_low,finance:finance_explanation:low,False,True,True,2026-01-15T12:00:00+00:00
task_00188,customer_support_response,customer_support,Synthetic customer_support request requiring customer_support_response handling. Use only fabricated business context.,Expected synthetic answer for customer_support_response in customer_support.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",customer_support_customer_support_response_low,customer_support:customer_support_response:low,False,False,False,2026-01-15T12:00:00+00:00
task_00189,code_assistance,software_engineering,Synthetic software_engineering request requiring code_assistance handling. Use only fabricated business context.,Expected synthetic answer for code_assistance in software_engineering.,markdown,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]",software_engineering_code_assistance_low,software_engineering:code_assistance:low,False,False,True,2026-01-15T12:00:00+00:00
task_00190,safety_sensitive_answer,healthcare,Synthetic healthcare request requiring safety_sensitive_answer handling. Use only fabricated business context.,Expected synthetic answer for safety_sensitive_answer in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_safety_sensitive_answer_high,healthcare:safety_sensitive_answer:high,False,False,False,2026-01-15T12:00:00+00:00
task_00191,batch_low_risk_summary,general_business,Synthetic general_business request requiring batch_low_risk_summary handling. Use only fabricated business context.,Expected synthetic answer for batch_low_risk_summary in general_business.,markdown,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",general_business_batch_low_risk_summary_low,general_business:batch_low_risk_summary:low,False,True,False,2026-01-15T12:00:00+00:00
task_00192,classification,healthcare,Synthetic healthcare request requiring classification handling. Use only fabricated business context.,Expected synthetic answer for classification in healthcare.,json,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_classification_high,healthcare:classification:high,False,False,False,2026-01-15T12:00:00+00:00
task_00193,extraction,insurance,Synthetic insurance request requiring extraction handling. Use only fabricated business context.,Expected synthetic answer for extraction in insurance.,json,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",insurance_extraction_low,insurance:extraction:low,False,False,False,2026-01-15T12:00:00+00:00
task_00194,summarization,cybersecurity,Synthetic cybersecurity request requiring summarization handling. Use only fabricated business context.,Expected synthetic answer for summarization in cybersecurity.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",cybersecurity_summarization_low,cybersecurity:summarization:low,False,False,False,2026-01-15T12:00:00+00:00
task_00195,retrieval_qa,retail,Synthetic retail request requiring retrieval_qa handling. Use only fabricated business context.,Expected synthetic answer for retrieval_qa in retail.,markdown,medium,False,900,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",retail_retrieval_qa_medium,retail:retrieval_qa:medium,False,False,False,2026-01-15T12:00:00+00:00
task_00196,policy_answering,customer_support,Synthetic customer_support request requiring policy_answering handling. Use only fabricated business context.,Expected synthetic answer for policy_answering in customer_support.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",customer_support_policy_answering_high,customer_support:policy_answering:high,False,False,False,2026-01-15T12:00:00+00:00
task_00197,fraud_triage,finance,Synthetic finance request requiring fraud_triage handling. Use only fabricated business context.,Expected synthetic answer for fraud_triage in finance.,json,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",finance_fraud_triage_high,finance:fraud_triage:high,False,False,True,2026-01-15T12:00:00+00:00
task_00198,healthcare_claim_review,healthcare,Synthetic healthcare request requiring healthcare_claim_review handling. Use only fabricated business context.,Expected synthetic answer for healthcare_claim_review in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_healthcare_claim_review_high,healthcare:healthcare_claim_review:high,False,False,True,2026-01-15T12:00:00+00:00
task_00199,finance_explanation,finance,Synthetic finance request requiring finance_explanation handling. Use only fabricated business context.,Expected synthetic answer for finance_explanation in finance.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",finance_finance_explanation_low,finance:finance_explanation:low,False,False,True,2026-01-15T12:00:00+00:00
task_00200,customer_support_response,finance,Synthetic finance request requiring customer_support_response handling. Use only fabricated business context.,Expected synthetic answer for customer_support_response in finance.,markdown,medium,False,450,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",finance_customer_support_response_medium,finance:customer_support_response:medium,True,False,False,2026-01-15T12:00:00+00:00
task_00201,code_assistance,software_engineering,Synthetic software_engineering request requiring code_assistance handling. Use only fabricated business context.,Expected synthetic answer for code_assistance in software_engineering.,markdown,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]",software_engineering_code_assistance_low,software_engineering:code_assistance:low,False,False,True,2026-01-15T12:00:00+00:00
task_00202,safety_sensitive_answer,healthcare,Synthetic healthcare request requiring safety_sensitive_answer handling. Use only fabricated business context.,Expected synthetic answer for safety_sensitive_answer in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_safety_sensitive_answer_high,healthcare:safety_sensitive_answer:high,False,False,False,2026-01-15T12:00:00+00:00
task_00203,batch_low_risk_summary,cybersecurity,Synthetic cybersecurity request requiring batch_low_risk_summary handling. Use only fabricated business context.,Expected synthetic answer for batch_low_risk_summary in cybersecurity.,markdown,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",cybersecurity_batch_low_risk_summary_low,cybersecurity:batch_low_risk_summary:low,False,True,False,2026-01-15T12:00:00+00:00
task_00204,classification,customer_support,Synthetic customer_support request requiring classification handling. Use only fabricated business context.,Expected synthetic answer for classification in customer_support.,json,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",customer_support_classification_low,customer_support:classification:low,False,True,False,2026-01-15T12:00:00+00:00
task_00205,extraction,legal,Synthetic legal request requiring extraction handling. Use only fabricated business context.,Expected synthetic answer for extraction in legal.,json,medium,False,900,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",legal_extraction_medium,legal:extraction:medium,False,False,False,2026-01-15T12:00:00+00:00
task_00206,summarization,software_engineering,Synthetic software_engineering request requiring summarization handling. Use only fabricated business context.,Expected synthetic answer for summarization in software_engineering.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",software_engineering_summarization_low,software_engineering:summarization:low,False,False,False,2026-01-15T12:00:00+00:00
task_00207,retrieval_qa,general_business,Synthetic general_business request requiring retrieval_qa handling. Use only fabricated business context.,Expected synthetic answer for retrieval_qa in general_business.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",general_business_retrieval_qa_low,general_business:retrieval_qa:low,False,False,False,2026-01-15T12:00:00+00:00
task_00208,policy_answering,finance,Synthetic finance request requiring policy_answering handling. Use only fabricated business context.,Expected synthetic answer for policy_answering in finance.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",finance_policy_answering_high,finance:policy_answering:high,False,False,False,2026-01-15T12:00:00+00:00
task_00209,fraud_triage,finance,Synthetic finance request requiring fraud_triage handling. Use only fabricated business context.,Expected synthetic answer for fraud_triage in finance.,json,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",finance_fraud_triage_high,finance:fraud_triage:high,False,False,True,2026-01-15T12:00:00+00:00
task_00210,healthcare_claim_review,healthcare,Synthetic healthcare request requiring healthcare_claim_review handling. Use only fabricated business context.,Expected synthetic answer for healthcare_claim_review in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_healthcare_claim_review_high,healthcare:healthcare_claim_review:high,False,False,True,2026-01-15T12:00:00+00:00
task_00211,finance_explanation,finance,Synthetic finance request requiring finance_explanation handling. Use only fabricated business context.,Expected synthetic answer for finance_explanation in finance.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",finance_finance_explanation_low,finance:finance_explanation:low,False,False,True,2026-01-15T12:00:00+00:00
task_00212,customer_support_response,retail,Synthetic retail request requiring customer_support_response handling. Use only fabricated business context.,Expected synthetic answer for customer_support_response in retail.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",retail_customer_support_response_low,retail:customer_support_response:low,False,False,False,2026-01-15T12:00:00+00:00
task_00213,code_assistance,software_engineering,Synthetic software_engineering request requiring code_assistance handling. Use only fabricated business context.,Expected synthetic answer for code_assistance in software_engineering.,markdown,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]",software_engineering_code_assistance_low,software_engineering:code_assistance:low,False,False,True,2026-01-15T12:00:00+00:00
task_00214,safety_sensitive_answer,healthcare,Synthetic healthcare request requiring safety_sensitive_answer handling. Use only fabricated business context.,Expected synthetic answer for safety_sensitive_answer in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_safety_sensitive_answer_high,healthcare:safety_sensitive_answer:high,False,False,False,2026-01-15T12:00:00+00:00
task_00215,batch_low_risk_summary,software_engineering,Synthetic software_engineering request requiring batch_low_risk_summary handling. Use only fabricated business context.,Expected synthetic answer for batch_low_risk_summary in software_engineering.,markdown,medium,False,900,0.0009,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",software_engineering_batch_low_risk_summary_medium,software_engineering:batch_low_risk_summary:medium,False,True,False,2026-01-15T12:00:00+00:00
task_00216,classification,finance,Synthetic finance request requiring classification handling. Use only fabricated business context.,Expected synthetic answer for classification in finance.,json,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",finance_classification_high,finance:classification:high,False,False,False,2026-01-15T12:00:00+00:00
task_00217,extraction,healthcare,Synthetic healthcare request requiring extraction handling. Use only fabricated business context.,Expected synthetic answer for extraction in healthcare.,json,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",healthcare_extraction_low,healthcare:extraction:low,False,False,False,2026-01-15T12:00:00+00:00
task_00218,summarization,insurance,Synthetic insurance request requiring summarization handling. Use only fabricated business context.,Expected synthetic answer for summarization in insurance.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",insurance_summarization_low,insurance:summarization:low,False,False,False,2026-01-15T12:00:00+00:00
task_00219,retrieval_qa,cybersecurity,Synthetic cybersecurity request requiring retrieval_qa handling. Use only fabricated business context.,Expected synthetic answer for retrieval_qa in cybersecurity.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",cybersecurity_retrieval_qa_high,cybersecurity:retrieval_qa:high,False,False,False,2026-01-15T12:00:00+00:00
task_00220,policy_answering,retail,Synthetic retail request requiring policy_answering handling. Use only fabricated business context.,Expected synthetic answer for policy_answering in retail.,markdown,high,True,450,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",retail_policy_answering_high,retail:policy_answering:high,True,False,False,2026-01-15T12:00:00+00:00
task_00221,fraud_triage,finance,Synthetic finance request requiring fraud_triage handling. Use only fabricated business context.,Expected synthetic answer for fraud_triage in finance.,json,high,True,1600,0.0009,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",finance_fraud_triage_high,finance:fraud_triage:high,False,True,True,2026-01-15T12:00:00+00:00
task_00222,healthcare_claim_review,healthcare,Synthetic healthcare request requiring healthcare_claim_review handling. Use only fabricated business context.,Expected synthetic answer for healthcare_claim_review in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_healthcare_claim_review_high,healthcare:healthcare_claim_review:high,False,False,True,2026-01-15T12:00:00+00:00
task_00223,finance_explanation,finance,Synthetic finance request requiring finance_explanation handling. Use only fabricated business context.,Expected synthetic answer for finance_explanation in finance.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",finance_finance_explanation_low,finance:finance_explanation:low,False,False,True,2026-01-15T12:00:00+00:00
task_00224,customer_support_response,general_business,Synthetic general_business request requiring customer_support_response handling. Use only fabricated business context.,Expected synthetic answer for customer_support_response in general_business.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",general_business_customer_support_response_low,general_business:customer_support_response:low,False,False,False,2026-01-15T12:00:00+00:00
task_00225,code_assistance,software_engineering,Synthetic software_engineering request requiring code_assistance handling. Use only fabricated business context.,Expected synthetic answer for code_assistance in software_engineering.,markdown,medium,False,900,0.003,0.76,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]",software_engineering_code_assistance_medium,software_engineering:code_assistance:medium,False,False,True,2026-01-15T12:00:00+00:00
task_00226,safety_sensitive_answer,healthcare,Synthetic healthcare request requiring safety_sensitive_answer handling. Use only fabricated business context.,Expected synthetic answer for safety_sensitive_answer in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_safety_sensitive_answer_high,healthcare:safety_sensitive_answer:high,False,False,False,2026-01-15T12:00:00+00:00
task_00227,batch_low_risk_summary,insurance,Synthetic insurance request requiring batch_low_risk_summary handling. Use only fabricated business context.,Expected synthetic answer for batch_low_risk_summary in insurance.,markdown,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",insurance_batch_low_risk_summary_low,insurance:batch_low_risk_summary:low,False,True,False,2026-01-15T12:00:00+00:00
task_00228,classification,retail,Synthetic retail request requiring classification handling. Use only fabricated business context.,Expected synthetic answer for classification in retail.,json,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",retail_classification_low,retail:classification:low,False,False,False,2026-01-15T12:00:00+00:00
task_00229,extraction,customer_support,Synthetic customer_support request requiring extraction handling. Use only fabricated business context.,Expected synthetic answer for extraction in customer_support.,json,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",customer_support_extraction_low,customer_support:extraction:low,False,False,False,2026-01-15T12:00:00+00:00
task_00230,summarization,legal,Synthetic legal request requiring summarization handling. Use only fabricated business context.,Expected synthetic answer for summarization in legal.,markdown,medium,False,900,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",legal_summarization_medium,legal:summarization:medium,False,False,False,2026-01-15T12:00:00+00:00
task_00231,retrieval_qa,software_engineering,Synthetic software_engineering request requiring retrieval_qa handling. Use only fabricated business context.,Expected synthetic answer for retrieval_qa in software_engineering.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",software_engineering_retrieval_qa_low,software_engineering:retrieval_qa:low,False,False,False,2026-01-15T12:00:00+00:00
task_00232,policy_answering,general_business,Synthetic general_business request requiring policy_answering handling. Use only fabricated business context.,Expected synthetic answer for policy_answering in general_business.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",general_business_policy_answering_high,general_business:policy_answering:high,False,False,False,2026-01-15T12:00:00+00:00
task_00233,fraud_triage,finance,Synthetic finance request requiring fraud_triage handling. Use only fabricated business context.,Expected synthetic answer for fraud_triage in finance.,json,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",finance_fraud_triage_high,finance:fraud_triage:high,False,False,True,2026-01-15T12:00:00+00:00
task_00234,healthcare_claim_review,healthcare,Synthetic healthcare request requiring healthcare_claim_review handling. Use only fabricated business context.,Expected synthetic answer for healthcare_claim_review in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_healthcare_claim_review_high,healthcare:healthcare_claim_review:high,False,False,True,2026-01-15T12:00:00+00:00
task_00235,finance_explanation,finance,Synthetic finance request requiring finance_explanation handling. Use only fabricated business context.,Expected synthetic answer for finance_explanation in finance.,markdown,medium,False,900,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",finance_finance_explanation_medium,finance:finance_explanation:medium,False,False,True,2026-01-15T12:00:00+00:00
task_00236,customer_support_response,cybersecurity,Synthetic cybersecurity request requiring customer_support_response handling. Use only fabricated business context.,Expected synthetic answer for customer_support_response in cybersecurity.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",cybersecurity_customer_support_response_low,cybersecurity:customer_support_response:low,False,False,False,2026-01-15T12:00:00+00:00
task_00237,code_assistance,software_engineering,Synthetic software_engineering request requiring code_assistance handling. Use only fabricated business context.,Expected synthetic answer for code_assistance in software_engineering.,markdown,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]",software_engineering_code_assistance_low,software_engineering:code_assistance:low,False,False,True,2026-01-15T12:00:00+00:00
task_00238,safety_sensitive_answer,healthcare,Synthetic healthcare request requiring safety_sensitive_answer handling. Use only fabricated business context.,Expected synthetic answer for safety_sensitive_answer in healthcare.,markdown,high,True,1600,0.0009,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_safety_sensitive_answer_high,healthcare:safety_sensitive_answer:high,False,True,False,2026-01-15T12:00:00+00:00
task_00239,batch_low_risk_summary,legal,Synthetic legal request requiring batch_low_risk_summary handling. Use only fabricated business context.,Expected synthetic answer for batch_low_risk_summary in legal.,markdown,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",legal_batch_low_risk_summary_low,legal:batch_low_risk_summary:low,False,True,False,2026-01-15T12:00:00+00:00
task_00240,classification,general_business,Synthetic general_business request requiring classification handling. Use only fabricated business context.,Expected synthetic answer for classification in general_business.,json,medium,False,450,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",general_business_classification_medium,general_business:classification:medium,True,False,False,2026-01-15T12:00:00+00:00
task_00241,extraction,finance,Synthetic finance request requiring extraction handling. Use only fabricated business context.,Expected synthetic answer for extraction in finance.,json,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",finance_extraction_low,finance:extraction:low,False,False,False,2026-01-15T12:00:00+00:00
task_00242,summarization,healthcare,Synthetic healthcare request requiring summarization handling. Use only fabricated business context.,Expected synthetic answer for summarization in healthcare.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",healthcare_summarization_low,healthcare:summarization:low,False,False,False,2026-01-15T12:00:00+00:00
task_00243,retrieval_qa,insurance,Synthetic insurance request requiring retrieval_qa handling. Use only fabricated business context.,Expected synthetic answer for retrieval_qa in insurance.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",insurance_retrieval_qa_high,insurance:retrieval_qa:high,False,False,False,2026-01-15T12:00:00+00:00
task_00244,policy_answering,cybersecurity,Synthetic cybersecurity request requiring policy_answering handling. Use only fabricated business context.,Expected synthetic answer for policy_answering in cybersecurity.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",cybersecurity_policy_answering_high,cybersecurity:policy_answering:high,False,False,False,2026-01-15T12:00:00+00:00
task_00245,fraud_triage,finance,Synthetic finance request requiring fraud_triage handling. Use only fabricated business context.,Expected synthetic answer for fraud_triage in finance.,json,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",finance_fraud_triage_high,finance:fraud_triage:high,False,False,True,2026-01-15T12:00:00+00:00
task_00246,healthcare_claim_review,healthcare,Synthetic healthcare request requiring healthcare_claim_review handling. Use only fabricated business context.,Expected synthetic answer for healthcare_claim_review in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_healthcare_claim_review_high,healthcare:healthcare_claim_review:high,False,False,True,2026-01-15T12:00:00+00:00
task_00247,finance_explanation,finance,Synthetic finance request requiring finance_explanation handling. Use only fabricated business context.,Expected synthetic answer for finance_explanation in finance.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",finance_finance_explanation_low,finance:finance_explanation:low,False,False,True,2026-01-15T12:00:00+00:00
task_00248,customer_support_response,software_engineering,Synthetic software_engineering request requiring customer_support_response handling. Use only fabricated business context.,Expected synthetic answer for customer_support_response in software_engineering.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",software_engineering_customer_support_response_low,software_engineering:customer_support_response:low,False,False,False,2026-01-15T12:00:00+00:00
task_00249,code_assistance,software_engineering,Synthetic software_engineering request requiring code_assistance handling. Use only fabricated business context.,Expected synthetic answer for code_assistance in software_engineering.,markdown,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]",software_engineering_code_assistance_low,software_engineering:code_assistance:low,False,False,True,2026-01-15T12:00:00+00:00
task_00250,safety_sensitive_answer,healthcare,Synthetic healthcare request requiring safety_sensitive_answer handling. Use only fabricated business context.,Expected synthetic answer for safety_sensitive_answer in healthcare.,markdown,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",healthcare_safety_sensitive_answer_high,healthcare:safety_sensitive_answer:high,False,False,False,2026-01-15T12:00:00+00:00
task_00251,batch_low_risk_summary,healthcare,Synthetic healthcare request requiring batch_low_risk_summary handling. Use only fabricated business context.,Expected synthetic answer for batch_low_risk_summary in healthcare.,markdown,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",healthcare_batch_low_risk_summary_low,healthcare:batch_low_risk_summary:low,False,True,False,2026-01-15T12:00:00+00:00
task_00252,classification,cybersecurity,Synthetic cybersecurity request requiring classification handling. Use only fabricated business context.,Expected synthetic answer for classification in cybersecurity.,json,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]",cybersecurity_classification_high,cybersecurity:classification:high,False,False,False,2026-01-15T12:00:00+00:00
task_00253,extraction,retail,Synthetic retail request requiring extraction handling. Use only fabricated business context.,Expected synthetic answer for extraction in retail.,json,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",retail_extraction_low,retail:extraction:low,False,False,False,2026-01-15T12:00:00+00:00
task_00254,summarization,customer_support,Synthetic customer_support request requiring summarization handling. Use only fabricated business context.,Expected synthetic answer for summarization in customer_support.,markdown,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]",customer_support_summarization_low,customer_support:summarization:low,False,False,False,2026-01-15T12:00:00+00:00
