task_id,risk_level,safety_required,max_latency_ms,max_cost_usd,min_quality_score,allowed_model_classes
task_00466,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00467,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00468,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00469,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00470,medium,False,900,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00471,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00472,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00473,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00474,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00475,medium,False,900,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00476,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00477,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]"
task_00478,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00479,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00480,medium,False,450,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00481,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00482,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00483,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00484,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00485,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00486,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00487,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00488,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00489,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]"
task_00490,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00491,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00492,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00493,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00494,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00495,medium,False,900,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00496,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00497,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00498,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00499,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00500,medium,False,450,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00501,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]"
task_00502,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00503,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00504,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00505,medium,False,900,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00506,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00507,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00508,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00509,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00510,high,True,1600,0.0009,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00511,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00512,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00513,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]"
task_00514,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00515,medium,False,900,0.0009,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00516,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00517,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00518,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00519,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00520,high,True,450,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00521,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00522,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00523,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00524,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00525,medium,False,900,0.003,0.76,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]"
task_00526,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00527,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00528,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00529,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00530,medium,False,900,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00531,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00532,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00533,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00534,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00535,medium,False,900,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00536,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00537,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]"
task_00538,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00539,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00540,high,True,450,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00541,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00542,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00543,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00544,high,True,1600,0.0009,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00545,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00546,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00547,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00548,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00549,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]"
task_00550,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00551,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00552,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00553,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00554,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00555,medium,False,900,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00556,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00557,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00558,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00559,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00560,medium,False,450,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00561,low,False,1600,0.0009,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]"
task_00562,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00563,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00564,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00565,medium,False,900,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00566,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00567,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00568,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00569,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00570,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00571,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00572,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00573,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]"
task_00574,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00575,medium,False,900,0.0009,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00576,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00577,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00578,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00579,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00580,high,True,450,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00581,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00582,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00583,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00584,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00585,medium,False,900,0.003,0.76,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]"
task_00586,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00587,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00588,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00589,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00590,medium,False,900,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00591,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00592,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00593,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00594,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00595,medium,False,900,0.0009,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00596,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00597,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]"
task_00598,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00599,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00600,high,True,450,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00601,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00602,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00603,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00604,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00605,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00606,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00607,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00608,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00609,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]"
task_00610,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00611,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00612,high,True,1600,0.0009,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00613,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00614,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00615,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00616,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00617,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00618,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00619,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00620,medium,False,450,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00621,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]"
task_00622,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00623,low,False,1600,0.0009,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00624,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00625,medium,False,900,0.003,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00626,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00627,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00628,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00629,high,True,1600,0.0009,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00630,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00631,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00632,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00633,low,False,1600,0.003,0.65,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]"
task_00634,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00635,medium,False,900,0.0009,0.76,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00636,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00637,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00638,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00639,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00640,high,True,450,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00641,high,True,1600,0.0065,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00642,high,True,1600,0.0065,0.86,"[""domain_healthcare"", ""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
task_00643,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00644,low,False,1600,0.003,0.65,"[""batch_cheap"", ""canary"", ""code_specialist"", ""domain_finance"", ""domain_healthcare"", ""fallback_safe"", ""general"", ""large_accurate"", ""small_fast""]"
task_00645,medium,False,900,0.003,0.76,"[""code_specialist"", ""fallback_safe"", ""general"", ""large_accurate""]"
task_00646,high,True,1600,0.0009,0.86,"[""fallback_safe"", ""large_accurate"", ""safety_guarded""]"
